item_id	citation	title	authority_tier	validity	validity_note	version_id	lang	source_url	retrieved	media_type	bytes	sha256
CCR-11-7222	11 CCR § 7222	Requests to Access ADMT.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	7082	f547d7653e936525b11d3677e5e71bb2c621058d68b106d54c0926f7cb3be629
CCR-11-7270	11 CCR § 7270	Definition of Insurance Company.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	457	b5d35335d74995f16e9c0fe61cdad430265568687631f4413b42e21111fb0739
CCR-11-7271	11 CCR § 7271	General Application of the CCPA to Insurance Companies.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	2238	6d1390ea82127fb8f49505ef29e54e8986d463e2a2cbc1a156a353acc4e94832
CCR-11-7300	11 CCR § 7300	Sworn Complaints Filed with the Agency.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	1284	fafffd315e301a1ab25ac64c89c4d6257300e119fa608d504567f5c8587118df
CCR-11-7300@2023	11 CCR § 7300 (2023 text)	Sworn Complaints Filed with the Agency.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	1279	2fae79e4a2121e9e240e8be92abc0108f4b09a189faa97301e067a3ae4d2b80b
CCR-11-7301	11 CCR § 7301	Investigations.	delegated	in-force		CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	790	a1245e462df5e5504180fba384f2c41017255e71cc1926869ba7288b34d16850
CCR-11-7302	11 CCR § 7302	Probable Cause Proceedings.	delegated	in-force		CPPA-approved-text-2025-09-22-eff-2026-01-01	eng	https://cppa.ca.gov/regulations/pdf/ccpa_updates_cyber_risk_admt_appr_text.pdf	2026-08-01	application/pdf	2117	d12f26e5d36c120d7d6e3eb68409c94f7684ced591cb1e76ee05fc61e10f1ca2
CCR-11-7302@2023	11 CCR § 7302 (2023 text)	Probable Cause Proceedings.	delegated	amended	Superseded 2026-01-01 by the CCPA Updates, Cyber, Risk, ADMT and Insurance Regulations (OAL 2025-0808-04). Retained as the text in force from 2023-03-29 to 2025-12-31.	CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	2022	c9aff660981fa97b1c818647c15d2a60aaeba89bbac532cbcd6721a28c0af548
CCR-11-7303	11 CCR § 7303	Stipulated Orders.	delegated	in-force		CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	715	0637e83f7b33f4b266697d7b0f19d8c34609169d30ee9914b516f00c82608da9
CCR-11-7304	11 CCR § 7304	Agency Audits.	delegated	in-force		CPPA-final-regs-2023-03-29	eng	https://cppa.ca.gov/regulations/pdf/20230329_final_regs_text.pdf	2026-08-01	application/pdf	1222	f36d6237bc31e22a5d784ea302935b2b61b492f4e101e378bac3b41a6da603ab
